1;-999;-999;-999
2;-999;-999;-999
3;-999;-999;-999
4;-999;-999;-999
5;-999;-999;-999
6;-999;-999;-999
7;-999;-999;-999
8;-999;-999;-999
9;-999;-999;-999
10;-999;-999;-999
11;-999;-999;-999
12;-999;-999;-999
13;-999;-999;-999
14;-999;-999;-999
15;-999;-999;-999
16;-999;-999;-999
17;-999;-999;-999
18;-999;-999;-999
19;-999;-999;-999
20;-999;-999;-999
21;-999;-999;-999
22;-999;-999;-999
23;-999;-999;-999
24;-999;-999;-999
25;-999;-999;-999
26;-999;-999;-999
27;-999;-999;-999
28;-999;-999;-999
29;-999;-999;-999
30;-999;-999;-999
31;-999;-999;-999
32;-999;-999;-999
33;-999;-999;-999
34;-999;-999;-999
35;-999;-999;-999
36;-999;-999;-999
37;-999;-999;-999
38;-999;-999;-999
39;-999;-999;-999
40;-999;-999;-999
41;-999;-999;-999
42;-999;-999;-999
43;-999;-999;-999
44;-999;-999;-999
45;-999;-999;-999
46;-999;-999;-999
47;-999;-999;-999
48;-999;-999;-999
49;-999;-999;-999
50;-999;-999;-999
51;-999;-999;-999
52;-999;-999;-999
53;-999;-999;-999
54;-999;-999;-999
55;-999;-999;-999
56;-999;-999;-999
57;-999;-999;-999
58;-999;-999;-999
59;-999;-999;-999
60;-999;-999;-999
61;-999;-999;-999
62;-999;-999;-999
63;-999;-999;-999
64;-999;-999;-999
65;-999;-999;-999
66;-999;-999;-999
67;-999;-999;-999
68;-999;-999;-999
69;-999;-999;-999
70;-999;-999;-999
71;-999;-999;-999
72;-999;-999;-999
73;-999;-999;-999
74;-999;-999;-999
75;-999;-999;-999
76;-999;-999;-999
77;-999;-999;-999
78;-999;-999;-999
79;-999;-999;-999
80;-999;-999;-999
81;-999;-999;-999
82;-999;-999;-999
83;-999;-999;-999
84;-999;-999;-999
85;-999;-999;-999
86;-999;-999;-999
87;-999;-999;-999
88;-999;-999;-999
89;-999;-999;-999
90;-999;-999;-999
91;-999;-999;-999
92;-999;-999;-999
93;-999;-999;-999
94;-999;-999;-999
95;-999;-999;-999
96;-999;-999;-999
97;-999;-999;-999
98;-999;-999;-999
99;-999;-999;-999
100;-999;-999;-999
101;-999;-999;-999
102;-999;-999;-999
103;-999;-999;-999
104;-999;-999;-999
105;-999;-999;-999
106;-999;-999;-999
107;-999;-999;-999
108;-999;-999;-999
109;-999;-999;-999
110;-999;-999;-999
111;-999;-999;-999
112;-999;-999;-999
113;-999;-999;-999
114;-999;-999;-999
115;-999;-999;-999
116;-999;-999;-999
117;-999;-999;-999
118;-999;-999;-999
119;-999;-999;-999
120;-999;-999;-999
121;-999;-999;-999
122;-999;-999;-999
123;-999;-999;-999
124;-999;-999;-999
125;-999;-999;-999
126;-999;-999;-999
127;-999;-999;-999
128;-999;-999;-999
129;-999;-999;-999
130;-999;-999;-999
131;-999;-999;-999
132;-999;-999;-999
133;-999;-999;-999
134;-999;-999;-999
135;-999;-999;-999
136;-999;-999;-999
137;-999;-999;-999
138;-999;-999;-999
139;-999;-999;-999
140;-999;-999;-999
141;-999;-999;-999
142;-999;-999;-999
143;-999;-999;-999
144;-999;-999;-999
145;-999;-999;-999
146;-999;-999;-999
147;-999;-999;-999
148;-999;-999;-999
149;-999;-999;-999
150;-999;-999;-999
151;-999;-999;-999
152;-999;-999;-999
153;-999;-999;-999
154;-999;-999;-999
155;-999;-999;-999
156;-999;-999;-999
157;-999;-999;-999
158;-999;-999;-999
159;-999;-999;-999
160;-999;-999;-999
161;-999;-999;-999
162;-999;-999;-999
163;-999;-999;-999
164;-999;-999;-999
165;-999;-999;-999
166;-999;-999;-999
167;-999;-999;-999
168;-999;-999;-999
169;-999;-999;-999
170;-999;-999;-999
171;-999;-999;-999
172;-999;-999;-999
173;-999;-999;-999
174;-999;-999;-999
175;-999;-999;-999
176;-999;-999;-999
177;-999;-999;-999
178;-999;-999;-999
179;-999;-999;-999
180;-999;-999;-999
181;-999;-999;-999
182;-999;-999;-999
183;-999;-999;-999
184;-999;-999;-999
185;-999;-999;-999
186;-999;-999;-999
187;-999;-999;-999
188;-999;-999;-999
189;-999;-999;-999
190;-999;-999;-999
191;-999;-999;-999
192;-999;-999;-999
193;-999;-999;-999
194;-999;-999;-999
195;-999;-999;-999
196;-999;-999;-999
197;-999;-999;-999
198;-999;-999;-999
199;-999;-999;-999
200;-999;-999;-999
201;-999;-999;-999
202;-999;-999;-999
203;-999;-999;-999
204;-999;-999;-999
205;-999;-999;-999
206;-999;-999;-999
207;-999;-999;-999
208;-999;-999;-999
209;-999;-999;-999
210;-999;-999;-999
211;-999;-999;-999
212;-999;-999;-999
213;-999;-999;-999
214;-999;-999;-999
215;-999;-999;-999
216;-999;-999;-999
217;-999;-999;-999
218;-999;-999;-999
219;-999;-999;-999
220;-999;-999;-999
221;505;-999;-999
222;505;-999;-999
223;505;-999;-999
224;505;-999;-999
225;505;-999;-999
226;505;-999;-999
227;505;-999;-999
228;505;-999;-999
229;505;-999;-999
230;505;-999;-999
231;505;-999;-999
232;505;-999;-999
233;505;-999;-999
234;505;-999;-999
235;505;-999;-999
236;505;-999;-999
237;505;-999;-999
238;505;-999;-999
239;505;-999;-999
240;505;-999;-999
241;505;-999;-999
242;505;-999;-999
243;505;-999;-999
244;505;-999;-999
245;505;-999;-999
246;505;-999;-999
247;505;-999;-999
248;505;-999;-999
249;505;-999;-999
250;505;-999;-999
251;505;-999;-999
252;505;-999;-999
253;505;-999;-999
254;505;-999;-999
255;505;-999;-999
256;505;-999;-999
257;505;-999;-999
258;505;-999;-999
259;505;-999;-999
260;505;-999;-999
261;505;-999;-999
262;505;-999;-999
263;505;-999;-999
264;505;-999;-999
265;505;-999;-999
266;505;-999;-999
267;505;-999;-999
268;505;-999;-999
269;505;-999;-999
270;505;-999;-999
271;505;-999;-999
272;505;-999;-999
273;505;-999;-999
274;505;-999;-999
275;505;-999;-999
276;505;-999;-999
277;505;-999;-999
278;505;-999;-999
279;505;-999;-999
280;505;-999;-999
281;505;-999;-999
282;505;-999;-999
283;505;-999;-999
284;505;-999;-999
285;505;-999;-999
286;505;-999;-999
287;505;-999;-999
288;505;-999;-999
289;505;-999;-999
290;505;-999;-999
291;505;-999;-999
292;505;-999;-999
293;505;-999;-999
294;505;-999;-999
295;505;-999;-999
296;505;-999;-999
297;505;-999;-999
298;505;-999;-999
299;505;-999;-999
300;505;-999;-999
301;505;-999;-999
302;505;-999;-999
303;505;-999;-999
304;505;-999;-999
305;505;-999;-999
306;505;-999;-999
307;505;-999;-999
308;505;-999;-999
309;505;-999;-999
310;505;-999;-999
311;505;-999;-999
312;505;-999;-999
313;505;-999;-999
314;505;-999;-999
315;505;-999;-999
316;505;-999;-999
317;505;-999;-999
318;505;-999;-999
319;505;-999;-999
320;505;-999;-999
321;505;-999;-999
